character_id,name,movie_id,gender,age
0,BIANCA,0,F,4
1,BRUCE,0,,
2,CAMERON,0,M,3
3,CHASTITY,0,,
4,JOEY,0,M,6
5,KAT,0,F,2
6,MANDELLA,0,F,7
7,MICHAEL,0,M,5
8,MISS PERKY,0,,
9,PATRICK,0,M,1
10,SHARON,0,,
11,WALTER,0,M,9
49,B20,3,,
50,BOWMAN,3,M,1
51,C12,3,,
52,CHILD,3,,
53,CO-PILOT,3,,
54,ELENA,3,,
55,FLOYD,3,,
56,HAL,3,M,7
57,MICHAELS,3,,
58,MILLER,3,,
59,PILOT,3,,
60,POOLE,3,M,2
61,SMYSLOV,3,,
78,CORNELIUS,5,M,3
79,DAVID,5,,
80,DIVA,5,,
81,FINGER,5,,
82,GIRL,5,,
83,KOMMANDER,5,,
84,KORBEN,5,M,1
85,LEELOO,5,F,4
86,LOC RHOD,5,,
87,MACTILBURGH,5,,
88,MOTHER,5,,
89,MUGGER,5,,
90,MUNRO,5,,
91,PRESIDENT,5,,
92,PRIEST,5,,
93,PROFESSOR,5,,
94,SECRETARY,5,,
95,SHADOW,5,,
96,STAEDERT,5,,
97,THAI,5,,
98,VOICE,5,,
99,ZORG,5,,
100,AMY,6,F,7
101,ANGRY DEALER,6,,
102,DINO,6,,
103,DINO VELVET,6,M,4
104,DIRECTOR,6,,
105,EDDIE,6,M,3
106,LONGDALE,6,M,5
107,MALE VOICE,6,,
108,MAX,6,M,2
109,MRS CHRISTIAN,6,M,
110,MRS MATHEWS,6,M,
111,NUN,6,,
112,POLITICIAN,6,,
113,SALESPERSON,6,,
114,WELLES,6,M,1
155,ALICE,11,,
156,CERALLOS,11,,
157,CHIEF MECHANIC,11,,
158,COL. CARLTON,11,,
159,DEAN,11,,
160,DOHERTY,11,,
161,GENERAL NORTHWOOD,11,,
162,GIBBS,11,,
163,IRAQI SOLDIER,11,,
164,KC-135 PILOT,11,,
165,KC-LO PILOT,11,,
166,KORSHUNOV,11,,
167,LEE,11,,
168,MAJOR CALDWELL,11,,
169,MARSHALL,11,M,1
170,MITCHELL,11,,
171,ROSE,11,,
172,SECRET SERVICE AGENT,11,,
173,SECRETARY,11,,
174,SHEPHERD,11,M,6
175,SWITCHBOARD,11,,
176,TOWER,11,,
177,V.P. CHANDLER,11,,
195,BERNICE,13,,
196,CAREY,13,,
197,DR. RUMACK,13,,
198,ELAINE,13,F,4
199,GIRL,13,,
200,GUNDERSON,13,,
201,JACK,13,,
202,JOEY,13,,
203,KRAMER,13,,
204,LISA,13,,
205,MILTON,13,,
206,MRS. HAMMEN,13,,
207,MRS. KRAMER,13,,
208,MURDOCK,13,,
209,OVEUR,13,,
210,RANDY,13,,
211,SHIRLEY,13,,
212,SISTER ANGELINA,13,,
213,SOLDIER,13,,
214,STRIKER,13,M,5
228,APONE,15,,
229,BISHOP,15,M,4
230,BURKE,15,M,5
231,GORMAN,15,,
232,HICKS,15,M,3
233,HUDSON,15,,
234,LYDECKER,15,,
235,MED-TECH,15,,
236,NEWT,15,F,2
237,RIPLEY,15,F,1
238,SIMPSON,15,,
239,VAN LEUWEN,15,,
240,VASQUEZ,15,,
241,ALLEGRO,16,,
242,ANDANTE,16,,
243,ARCO,16,,
244,CAVALIERI,16,F,6
245,COLLOREDO,16,,
246,COMMENDATORE,16,,
247,CONSTANZE,16,F,3
248,FIRST LADY,16,,
249,FLUNKY,16,,
250,FRAU SCHLUMBERG,16,,
251,JOSEPH,16,M,7
252,LEOPOLD,16,M,5
253,LORL,16,F,22
254,MADAME WEBER,16,,
255,MOZART,16,M,2
256,OFFICER,16,,
257,OLD SALIERI,16,M,
258,ORSINI-ROSENBERG,16,,
259,PAPAGENO,16,,
260,SALIERI,16,M,1
261,SCHIKANEDER,16,M,4
262,SCHLUMBERG,16,,
263,SECOND LADY,16,,
264,SERVANT,16,,
265,UGLY OLD WOMAN,16,,
266,VOGLER,16,M,16
267,VON STRACK,16,,
268,VON SWIETEN,16,,
327,BATEMAN,20,M,1
328,CARNES,20,,
329,CARRUTHERS,20,,
330,CHRISTIE,20,,
331,COURTNEY,20,F,7
332,DAISY,20,,
333,ELIZABETH,20,F,12
334,EVELYN,20,F,6
335,HOMELESS MAN,20,M,
336,JEAN,20,F,5
337,KIMBALL,20,M,10
338,MAITRE D',20,,
339,MRS. WOLFE,20,,
340,OWEN,20,,
341,PRICE,20,,
342,VAN PATTEN,20,,
343,VICTORIA,20,,
360,ALOTTA,22,F,7
361,ANDY WARHOL,22,,
362,AUSTIN,22,M,1
363,BASIL EXPOSITION,22,M,3
364,CLERK,22,,
365,COMMANDER GILMOUR,22,,
366,DESTRUCTACON,22,,
367,DR. EVIL,22,M,1
368,FRAU FARBISSINA,22,,
369,GUARD,22,,
370,MICK JAGGER,22,,
371,MRS. KENSINGTON,22,,
372,MUSTAFA,22,,
373,NUMBER TWO,22,,
374,RADAR OPERATOR,22,,
375,SCOTT EVIL,22,M,6
376,THERAPIST,22,,
377,VANESSA,22,F,2
454,ARMED GENTLEMAN,28,,
455,CAPTAIN BEST,28,,
456,CAPTAIN GALGENSTEIN,28,M,
457,CAPTAIN GROGAN,28,M,13
458,CAPTAIN O'REILLY,28,,
459,CHEVALIER,28,M,3
460,COUNT,28,,
461,COUNTESS,28,F,
462,DOROTHY,28,,
463,HARRY,28,,
464,HENRI,28,,
465,LORD WEST,28,,
466,MICHAEL,28,,
467,MINISTER GALGENSTEIN,28,,
468,MRS. O'REILLY,28,,
469,NEWCOMBE,28,,
470,PATRICK,28,,
471,PRINCE,28,,
472,PRUSSIAN OFFICER,28,,
473,RODERICK,28,M,
474,SIR WILLIAM,28,,
475,VALDEZ,28,,
488,AMOS,30,M,16
489,BEAMEN,30,,
490,DON PRICE,30,,
491,DR. BENNETT,30,,
492,EDWARD,30,M,
493,JENNY,30,F,5
494,JOSEPHINE,30,F,8
495,KARL,30,,
