conversation_id,character1_id,character2_id,movie_id
0,0,2,0
1,0,2,0
2,0,2,0
3,0,2,0
4,0,2,0
5,0,2,0
6,0,2,0
7,0,2,0
8,0,2,0
9,0,2,0
10,0,2,0
11,0,2,0
12,0,2,0
13,0,2,0
14,0,2,0
15,0,2,0
16,0,2,0
17,0,2,0
18,0,2,0
19,0,2,0
20,0,2,0
21,0,2,0
22,0,2,0
23,0,2,0
24,0,2,0
25,0,3,0
26,0,3,0
27,0,3,0
28,0,3,0
29,0,3,0
30,0,3,0
31,0,3,0
32,0,4,0
33,0,4,0
34,0,4,0
35,0,4,0
36,0,4,0
37,0,4,0
38,0,5,0
39,0,5,0
40,0,5,0
41,0,5,0
42,0,5,0
43,0,5,0
44,0,5,0
45,0,5,0
46,0,5,0
47,0,5,0
48,0,5,0
49,0,5,0
50,0,5,0
51,0,5,0
52,0,5,0
53,0,5,0
54,0,5,0
55,0,5,0
56,0,11,0
57,0,11,0
58,0,11,0
59,0,11,0
60,0,11,0
61,0,11,0
62,0,11,0
63,0,11,0
64,0,11,0
65,1,9,0
66,2,7,0
67,2,7,0
68,2,7,0
69,2,7,0
70,2,7,0
71,2,7,0
72,2,7,0
73,2,7,0
74,2,7,0
75,2,7,0
76,2,7,0
77,2,7,0
78,2,7,0
79,2,7,0
80,2,7,0
81,2,7,0
82,2,7,0
83,2,7,0
84,2,7,0
85,2,9,0
86,2,9,0
87,2,9,0
88,2,9,0
89,2,9,0
90,2,9,0
91,2,9,0
92,2,9,0
93,2,9,0
94,2,9,0
95,2,9,0
96,4,5,0
97,4,5,0
98,4,5,0
99,4,5,0
100,4,9,0
101,4,9,0
102,4,9,0
103,4,9,0
104,4,9,0
105,4,9,0
106,4,9,0
107,4,9,0
108,4,9,0
109,4,9,0
110,4,7,0
111,4,7,0
112,4,7,0
113,4,7,0
114,5,6,0
115,5,6,0
116,5,6,0
117,5,6,0
118,5,6,0
119,5,6,0
120,5,6,0
121,5,6,0
122,5,6,0
123,5,6,0
124,5,6,0
125,5,6,0
126,5,9,0
127,5,9,0
128,5,9,0
129,5,9,0
130,5,9,0
131,5,9,0
132,5,9,0
133,5,9,0
134,5,9,0
135,5,9,0
136,5,9,0
137,5,9,0
138,5,9,0
139,5,9,0
140,5,9,0
141,5,9,0
142,5,9,0
143,5,9,0
144,5,9,0
145,5,9,0
146,5,9,0
147,5,9,0
148,5,9,0
149,5,9,0
150,5,9,0
151,5,9,0
152,5,9,0
153,5,9,0
154,5,9,0
155,5,9,0
156,5,9,0
157,5,9,0
158,5,9,0
159,5,9,0
160,5,9,0
161,5,9,0
162,5,9,0
163,5,9,0
164,5,9,0
165,5,9,0
166,5,11,0
167,5,11,0
168,5,11,0
169,5,11,0
170,5,11,0
171,5,11,0
172,5,8,0
173,5,8,0
174,5,8,0
175,6,7,0
176,6,7,0
177,6,7,0
178,7,9,0
179,7,9,0
180,7,9,0
181,7,9,0
182,7,9,0
183,7,9,0
184,7,9,0
185,7,9,0
186,7,9,0
187,7,9,0
188,7,9,0
189,8,9,0
190,8,9,0
191,8,9,0
192,8,9,0
193,10,11,0
194,10,11,0
195,10,11,0
196,10,11,0
197,10,11,0
198,10,11,0
199,10,11,0
200,10,11,0
472,49,55,3
473,49,55,3
474,49,55,3
475,49,55,3
476,49,55,3
