movie_id,title,year,imdb_rating,imdb_votes,raw_script_url
0,10 things i hate about you,1999,6.9,62847,http://www.dailyscript.com/scripts/10Things.html
3,2001: a space odyssey,1968,8.4,163227,http://www.scifiscripts.com/scripts/2001.txt
5,the fifth element,1997,7.5,133756,http://www.scifiscripts.com/scripts/5thelement.txt
6,8mm,1999,6.3,48212,http://www.dailyscript.com/scripts/eight-millimeter.html
11,air force one,1997,6.3,61978,http://www.dailyscript.com/scripts/AirForceOne_TXT.html
13,airplane!,1980,7.8,57692,http://www.dailyscript.com/scripts/Airplane_script.htm
15,aliens,1986,8.5,173518,http://www.horrorlair.com/scripts/aliens.html
16,amadeus,1984,8.4,99138,http://www.dailyscript.com/scripts/Amadeus.txt
20,american psycho,2000,7.4,101357,http://www.dailyscript.com/scripts/american_psycho_unproduced.html
22,austin powers: international man of mystery,1997,7.1,75240,http://www.dailyscript.com/scripts/Austin%20Powers%20-%20International%20Man%20Of%20Mystery.txt
28,barry lyndon,1975,8.1,40622,http://www.dailyscript.com/scripts/BarryLyndon.html
30,big fish,2003,8.1,144264,http://www.dailyscript.com/scripts/Big+Fish.txt
34,blade runner,1982,8.3,188735,http://www.dailyscript.com/scripts/blade-runner_shooting.html
36,blue velvet,1986,7.8,54576,http://www.dailyscript.com/scripts/Blue+Velvet.txt
37,the boondock saints,1999,7.8,87895,http://www.dailyscript.com/scripts/Boondock%20Saints%20The.txt
39,the bourne supremacy,2004,7.6,106349,http://www.dailyscript.com/scripts/Bourne+Supremacy+The.txt
40,braveheart,1995,8.4,245652,http://www.dailyscript.com/scripts/Braveheart.txt
41,the butterfly effect,2004,7.8,104917,http://www.dailyscript.com/scripts/Butterfly+Effect+The.txt
42,casablanca,1942,8.8,170874,http://www.dailyscript.com/scripts/Casablanca.txt
43,cast away,2000,7.5,104477,http://www.hundland.org/scripts/CastAway.txt
44,the cider house rules,1999,7.5,38836,http://www.dailyscript.com/scripts/Cider%20House%20Rules%20The.txt
50,donnie darko,2001,8.3,215194,http://www.dailyscript.com/scripts/Donnie+Darko.txt
53,the elephant man,1980,8.4,59625,http://www.dailyscript.com/scripts/Elephant+Man+The.txt
55,eternal sunshine of the spotless mind,2004,8.5,224838,http://www.dailyscript.com/scripts/Eternal+Sunshine+Of+The+Spotless+Mind.txt
57,event horizon,1997,6.4,45497,http://www.dailyscript.com/scripts/Event%20Horizon.txt
58,fantastic four,2005,5.7,72581,http://www.dailyscript.com/scripts/Fantastic+Four.txt
